repo_name,discussion,label,,,
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep/discussions/1552,question-answering,,,
Eugeny/terminus,https://github.com/Eugeny/terminus/discussions/2732,question-answering,idea sharing,community engagement,
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick/discussions/1878,question-answering,,,
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect/discussions/2860,not meta,,,
SixLabors/ImageSharp,https://github.com/SixLabors/ImageSharp/discussions/1217,thank-you,,,
adonisjs/core,https://github.com/adonisjs/core/discussions/1250,not meta,,,
algolia/instantsearch.js,https://github.com/algolia/instantsearch.js/discussions/4400,not meta,,,
alpinejs/alpine,https://github.com/alpinejs/alpine/discussions/481,information resource building,,,
ansible-community/molecule,https://github.com/ansible-community/molecule/discussions/2705,decluttering issue tracker,,,
apache/couchdb,https://github.com/apache/couchdb/discussions/2919,not meta,,,
apollographql/apollo-client,https://github.com/apollographql/apollo-client/discussions/6056,testing the feature,,,
apollographql/apollo-server,https://github.com/apollographql/apollo-server/discussions/4081,not meta,,,
ardatan/graphql-tools,https://github.com/ardatan/graphql-tools/discussions/1608,not meta,,,
aws-amplify/amplify-js,https://github.com/aws-amplify/amplify-js/discussions/5365,not meta,,,
babel/babel,https://github.com/babel/babel/discussions/11587,not meta,,,
badges/shields,https://github.com/badges/shields/discussions/5238,question-answering,idea sharing,community engagement,
beakerbrowser/beaker,https://github.com/beakerbrowser/beaker/discussions/1548,question-answering,idea sharing,,
blitz-js/blitz,https://github.com/blitz-js/blitz/discussions/503,not meta,,,
cake-build/cake,https://github.com/cake-build/cake/discussions/2807,not meta,,,
chocolatey/choco,https://github.com/chocolatey/choco/discussions/2082,not meta,,,
clap-rs/clap,https://github.com/clap-rs/clap/discussions/1775,not meta,,,
codesandbox/codesandbox-client,https://github.com/codesandbox/codesandbox-client/discussions/3918,not meta,,,
concourse/concourse,https://github.com/concourse/concourse/discussions/5394,question-answering,idea sharing,decluttering issue tracker,
containrrr/watchtower,https://github.com/containrrr/watchtower/discussions/567,decluttering issue tracker,,,
date-fns/date-fns,https://github.com/date-fns/date-fns/discussions/1797,not meta,,,
davidkpiano/xstate,https://github.com/davidkpiano/xstate/discussions/1217,not meta,,,
directus/directus,https://github.com/directus/directus/discussions/2686,question-answering,,,
dotansimha/graphql-code-generator,https://github.com/dotansimha/graphql-code-generator/discussions/3955,not meta,,,
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore/discussions/22085,not meta,,,
dotnet/efcore,https://github.com/dotnet/efcore/discussions/21192,testing the feature,,,
dotnet/maui,https://github.com/dotnet/maui/discussions/163,question-answering,idea sharing,community engagement,
dotnet/roslyn,https://github.com/dotnet/roslyn/discussions/44931,not meta,,,
dotnet/runtime,https://github.com/dotnet/runtime/discussions/37628,testing the feature,,,
dracula/dracula-theme,https://github.com/dracula/dracula-theme/discussions/400,idea sharing,community engagement,,
eclipse-theia/theia,https://github.com/eclipse-theia/theia/discussions/7593,testing the feature,,,
edgedb/edgedb,https://github.com/edgedb/edgedb/discussions/1499,question-answering,idea sharing,community engagement,
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9044,testing the feature,,,
facebook/docusaurus,https://github.com/facebook/docusaurus/discussions/2790,not meta,,,
fastify/fastify,https://github.com/fastify/fastify/discussions/2348,question-answering,idea sharing,community engagement,
fastlane/fastlane,https://github.com/fastlane/fastlane/discussions/16810,question-answering,idea sharing,community engagement,
formik/formik,https://github.com/formium/formik/discussions/2473,testing the feature,,,
gitextensions/gitextensions,https://github.com/gitextensions/gitextensions/discussions/8131,testing the feature,,,
gomods/athens,https://github.com/gomods/athens/discussions/1536,testing the feature,,,
google/jax,https://github.com/google/jax/discussions/3478,not meta,,,
goreleaser/goreleaser,https://github.com/goreleaser/goreleaser/discussions/1413,not meta,,,
graphql/graphiql,https://github.com/graphql/graphiql/discussions/1569,not meta,,,
gulpjs/gulp,https://github.com/gulpjs/gulp/discussions/2443,testing the feature,,,
ionic-team/capacitor,https://github.com/ionic-team/capacitor/discussions/3082,not meta,,,
keystonejs/keystone,https://github.com/keystonejs/keystone/discussions/3017,not meta,,,
laravel/framework,https://github.com/laravel/framework/discussions/32754,testing the feature,,,
linkerd/linkerd2,https://github.com/linkerd/linkerd2/discussions/4347,community engagement,,,
livewire/livewire,https://github.com/livewire/livewire/discussions/1004,not meta,,,
meilisearch/MeiliSearch,https://github.com/meilisearch/MeiliSearch/discussions/614,not meta,,,
nlohmann/json,https://github.com/nlohmann/json/discussions/2218,question-answering,idea sharing,community engagement,
npm/cli,https://github.com/npm/cli/discussions/1277,404,,,
nuxt/nuxt.js,https://github.com/nuxt/nuxt.js/discussions/7741,not meta,,,
octokit/rest.js,https://github.com/octokit/rest.js/discussions/1708,not meta,,,
outline/outline,https://github.com/outline/outline/discussions/1269,not meta,,,
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel/discussions/4629,not meta,,,
prestodb/presto,https://github.com/prestodb/presto/discussions/14619,not meta,,,
prisma/prisma,https://github.com/prisma/prisma/discussions/1874,not meta,,,
probot/probot,https://github.com/probot/probot/discussions/1247,not meta,,,
qutebrowser/qutebrowser,https://github.com/qutebrowser/qutebrowser/discussions/5529,not meta,,,
rabbitmq/rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server/discussions/2409,question-answering,idea sharing,community engagement,information resource building
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form/discussions/1665,not meta,,,
react-spring/react-spring,https://github.com/react-spring/react-spring/discussions/1005,not meta,,,
react-spring/react-three-fiber,https://github.com/react-spring/react-three-fiber/discussions/354,not meta,,,
react-static/react-static,https://github.com/react-static/react-static/discussions/1428,testing the feature,,,
ruffle-rs/ruffle,https://github.com/ruffle-rs/ruffle/discussions/726,not meta,,,
scrumpy/tiptap,https://github.com/ueberdosis/tiptap/discussions/688,not meta,,,
slatedocs/slate,https://github.com/slatedocs/slate/discussions/1245,not meta,,,
spatie/laravel-activitylog,https://github.com/spatie/laravel-activitylog/discussions/740,not meta,,,
spatie/laravel-backup,https://github.com/spatie/laravel-backup/discussions/1074,not meta,,,
spatie/laravel-medialibrary,https://github.com/spatie/laravel-medialibrary/discussions/1904,not meta,,,
spatie/laravel-query-builder,https://github.com/spatie/laravel-query-builder/discussions/485,not meta,,,
starship/starship,https://github.com/starship/starship/discussions/1040,question-answering,feature requests,,
storybookjs/storybook,https://github.com/storybookjs/storybook/discussions/10884,testing the feature,,,
strapi/strapi,https://github.com/strapi/strapi/discussions/5838,testing the feature,,,
system-ui/theme-ui,https://github.com/system-ui/theme-ui/discussions/1011,not meta,,,
tailwindcss/tailwindcss,https://github.com/tailwindcss/tailwindcss/discussions/1422,testing the feature,,,
tannerlinsley/react-query,https://github.com/tannerlinsley/react-query/discussions/225,not meta,,,
tannerlinsley/react-table,https://github.com/tannerlinsley/react-table/discussions/1970,not meta,,,
tokio-rs/tokio,https://github.com/tokio-rs/tokio/discussions/2556,not meta,,,
trailofbits/algo,https://github.com/trailofbits/algo/discussions/1781,not meta,,,
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30586,testing the feature,,,
vercel/next.js,https://github.com/vercel/next.js/discussions/10116,testing the feature,,,
vercel/swr,https://github.com/vercel/swr/discussions/234,not meta,,,
vercel/vercel,https://github.com/vercel/vercel/discussions/3874,question-answering,community engagement,feature requests,
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify/discussions/11208,not meta,,,
xamarin/Xamarin.Forms,https://github.com/xamarin/Xamarin.Forms/discussions/11222,question-answering,idea sharing,community engagement,